,global_x,global_y,global_z,delta_s,total_s,has_anchor,depth,k_yy,k_zy,k_yz,k_zz
32999,3299.117550820589,71.61101595900254,-65.79903720167931,0.10000425129140646,3300.096318869838,True,-76.0,10001.453654655255,0.0,0.0,20002.90730931051
33998,3399.000837629932,73.43937429628568,-66.71310152043588,0.10000415993745475,3400.0005201484496,True,-76.0,10140.39143110625,0.0,0.0,20280.78286221251
34998,3498.9844715661093,75.24957612616709,-67.61809119617101,0.10000406948984127,3500.0046347323987,True,-76.0,10277.94986181799,0.0,0.0,20555.899723635983
35998,3598.9684655430465,77.0397811892326,-68.51308613480069,0.10000398003705065,3600.00865936814,True,-76.0,10413.989092489704,0.0,0.0,20827.97818497941
36998,3698.952815561388,78.8099894138868,-69.39808621979319,0.10000389158691589,3700.012595053472,True,-77.0,10687.305277848147,0.0,0.0,21374.610555696298
37998,3798.937517621749,80.56020072934916,-70.27309133613016,0.10000380413348217,3800.016442786243,True,-77.0,10822.056065764045,0.0,0.0,21644.11213152809
38998,3898.922567724747,82.2904150657123,-71.13810137007385,0.10000371767938124,3900.020203564354,True,-77.0,10955.267610991374,0.0,0.0,21910.535221982747
39998,3998.9079618709748,84.00063235347625,-71.99311620905064,0.10000363221720866,4000.0238783857276,True,-86.0,12382.81598795671,0.0,0.0,24765.63197591342
40998,4098.893696061015,85.69085252453806,-72.83813574211672,0.10000354775461476,4100.027468248389,True,-86.0,12528.159347644076,0.0,0.0,25056.31869528815
41998,4198.87976629544,87.36107551120222,-73.67315985925961,0.10000346429411856,4200.030974150348,True,-86.0,12671.78349579265,0.0,0.0,25343.566991585307
42998,4298.866168574805,89.01130124652991,-74.49818845186383,0.10000338183119542,4300.034397089711,True,-86.0,12813.688413720574,0.0,0.0,25627.376827441156
43998,4398.852898899648,90.64152966468828,-75.31322141282726,0.10000330036429744,4400.037738064572,True,-86.0,12953.874083006289,0.0,0.0,25907.748166012578
44998,4498.839953270504,92.25176070031011,-76.11825863609556,0.10000321989869881,4500.040998073131,True,-90.0,13701.286554497201,0.0,0.0,27402.573108994402
45998,4598.827327687884,93.84199428919237,-76.91330001701135,0.10000314042908869,4600.044178113589,True,-90.0,13844.394003062043,0.0,0.0,27688.788006124087
46998,4698.8150181522915,95.41223036753945,-77.69834545219783,0.10000306195634417,4700.0472791842185,True,-101.0,15695.065781343957,0.0,0.0,31390.131562687922
