,global_x,global_y,global_z,delta_s,total_s,has_anchor,depth,z1,is_underground,has_hydro_loading,u_z_initial,u_y_initial,u_x_initial,theta_x_initial,theta_y_initial,theta_z_initial
308,15400.071460994666,73.92283591488376,-103.92283591488376,50.00150882546182,15400.730660262121,True,-151.0,-86.51715588137857,False,True,-17.40568003350519,0,0,0,0,0
309,15450.072549257166,73.77657850563992,-103.77657850563992,50.001516075952715,15450.732176338073,,,,False,,-14.99492525427239,0,0,0,0,0
310,15500.073630144105,73.62782097712625,-103.62782097700983,50.00152345145949,15500.733699789533,True,-135.0,-91.36016671734049,False,True,-12.267654259669342,0,0,0,0,0
311,15550.074703530463,73.47656332957558,-103.47656332945917,50.001530951960554,15550.735230741493,,,,False,,-11.211540988047393,0,0,0,0,0
312,15600.075769291241,73.32280556345358,-103.32280556333717,50.00153857747726,15600.73676931897,True,-135.0,-90.95169666595838,False,True,-12.37110889737879,0,0,0,0,0
313,15650.076827301427,73.16654767899308,-103.16654767899308,50.00154632799748,15650.738315646968,,,,False,,-15.450792029819485,0,0,0,0,0
314,15700.07787743601,73.00778967689257,-103.00778967689257,50.00155420351929,15700.739869850488,True,-153.0,-84.76997243225318,False,True,-18.237817244639388,0,0,0,0,0
315,15750.078919569978,72.84653155726846,-102.84653155726846,50.001562204046955,15750.741432054534,,,,False,,-18.8094288546392,0,0,0,0,0
316,15800.07995357833,72.68277332070284,-102.68277332070284,50.00157032958502,15800.743002384119,True,-153.0,-84.36262515107393,False,True,-18.320148169628908,0,0,0,0,0
317,15850.08097933605,72.51651496754494,-102.51651496754494,50.00157858012215,15850.744580964241,,,,False,,-18.262558617465114,0,0,0,0,0
318,15900.08199671813,72.34775649814401,-102.34775649814401,50.00158695566732,15900.746167919908,True,-153.0,-83.94354139696246,False,True,-18.40421510118155,0,0,0,0,0
319,15950.083005599565,72.17649791296571,-102.17649791296571,50.00159545621781,15950.747763376126,,,,False,,-18.31385062620032,0,0,0,0,0
320,16000.084005855342,72.00273921259213,-102.00273921247572,50.00160408177125,16000.749367457898,True,-153.0,-83.51280008015578,False,True,-18.489939132319932,0,0,0,0,0
321,16050.084997360455,71.82648039702326,-101.82648039702326,50.00161283233177,16050.75098029023,,,,False,,-19.16490557997632,0,0,0,0,0
322,16100.08597998989,71.64772146719042,-101.64772146719042,50.00162170789152,16100.752601998121,True,-153.0,-83.07048338941159,False,True,-18.57723807777883,0,0,0,0,0
323,16150.086953618644,71.46646242344286,-101.46646242332645,50.00163070846051,16150.754232706582,,,,False,,-15.44012359818471,0,0,0,0,0
324,16200.087918121704,71.282703265897,-101.282703265897,50.00163983403178,16200.755872540614,True,-133.0,-88.92322184502757,False,True,-12.359481420869429,0,0,0,0,0
325,16250.088873374061,71.09644399536774,-101.09644399536774,50.00164908460445,16250.757521625219,,,,False,,-11.889527065687894,0,0,0,0,0
326,16300.08981925071,70.90768461220432,-100.90768461220432,50.00165846018555,16300.759180085404,True,-133.0,-88.4227559062097,False,True,-12.48492870599462,0,0,0,0,0
327,16350.09075562664,70.716425116756,-100.71642511687241,50.00166796076769,16350.760848046171,,,,False,,-12.328213835110548,0,0,0,0,0
328,16400.091682376842,70.52266550983768,-100.52266550983768,50.00167758635439,16400.762525632526,True,-133.0,-87.90977093711494,False,True,-12.612894572722738,0,0,0,0,0
329,16450.0925993763,70.32640579156578,-100.32640579156578,50.001687336937295,16450.764212969465,,,,False,,-14.576705370162562,0,0,0,0,0
330,16500.09350650002,70.12764596263878,-100.12764596263878,50.001697212533536,16500.765910182,True,-145.0,-83.50436058366617,False,True,-16.62328537897261,0,0,0,0,0
331,16550.094403622985,69.92638602352235,-99.92638602340594,50.00170721313026,16550.76761739513,,,,False,,-17.071248126605493,0,0,0,0,0
332,16600.095290620186,69.72262597456574,-99.72262597456574,50.00171733872638,16600.769334733857,True,-145.0,-82.98942603062297,False,True,-16.73319994394278,0,0,0,0,0
333,16650.09616736661,69.51636581646744,-99.51636581646744,50.00172758932175,16650.77106232318,,,,False,,-16.72038547160276,0,0,0,0,0
334,16700.097033737256,69.30760554969311,-99.30760554969311,50.00173796492713,16700.77280028811,True,-145.0,-82.4629957639714,False,True,-16.8446097857217,0,0,0,0,0
335,16750.097889607114,69.0963451747084,-99.0963451747084,50.00174846553192,16750.77454875364,,,,False,,-16.781000108392064,0,0,0,0,0
336,16800.098734851177,68.88258469221182,-98.8825846920954,50.001759091141786,16800.776307844782,True,-145.0,-81.92517288208225,False,True,-16.957411810013156,0,0,0,0,0
337,16850.09956934442,68.66632410255261,-98.66632410243619,50.001769841736206,16850.77807768652,,,,False,,-17.562013529379787,0,0,0,0,0
338,16900.100392961856,68.44756340631284,-98.44756340619642,50.001780717354556,16900.779858403872,True,-145.0,-81.37606457563447,False,True,-17.07149883056195,0,0,0,0,0
339,16950.101205578474,68.22630260395817,-98.22630260395817,50.00179171797121,16950.781650121844,,,,False,,-14.374271077869825,0,0,0,0,0
340,17000.102007069254,68.00254169630352,-98.00254169630352,50.00180284357717,17000.78345296542,True,-128.0,-86.28549378500445,False,True,-11.717047911299076,0,0,0,0,0
341,17050.10279730919,67.77628068358172,-97.77628068358172,50.00181409419046,17050.78526705961,,,,False,,-11.31146519088321,0,0,0,0,0
342,17100.103576173286,67.54751956672408,-97.54751956660766,50.00182546980932,17100.78709252942,True,-128.0,-85.67700218548605,False,True,-11.870517381121616,0,0,0,0,0
343,17150.104343536514,67.31625834596343,-97.31625834596343,50.00183697041595,17150.788929499835,,,,False,,-11.831321554704042,0,0,0,0,0
344,17200.105099273882,67.08249702199828,-97.08249702199828,50.00184859603826,17200.790778095874,True,-128.0,-85.0563704093825,False,True,-12.026126612615784,0,0,0,0,0
